id,customer_id,customer_email,kind,title,body_preview,metadata,source_table,source_id,occurred_at,created_at,updated_at,message_id,in_reply_to,thread_id,sender_email,recipient_email
1f4b4931-a807-43dd-963d-f33bef1eb9b4,d6755a37-7995-42d6-8645-bbaeb8342a4c,info@baterix.sk,hosting_event,Baterix,Hostcreators,"{""action"": ""created"", ""origin"": ""crm_app"", ""idempotency_key"": ""hosting_records:6ba68209-e9eb-41e6-a93c-bc5225868ed7:created""}",hosting_records,6ba68209-e9eb-41e6-a93c-bc5225868ed7,2026-06-15 08:11:30.037+00,2026-06-15 08:11:29.704119+00,2026-06-15 08:11:29.704119+00,,,,,
8ab6435f-baa2-4f3d-adb3-5dd0bff97042,,,payment,100percentpure.sk,175.00 € · vyplatené,"{""action"": ""paid"", ""origin"": ""crm_app"", ""payment_status"": ""paid"", ""idempotency_key"": ""commissions:d28f58d2-547b-4555-89b2-ccffc06a0af9:paid""}",commissions,d28f58d2-547b-4555-89b2-ccffc06a0af9,2026-06-15 08:30:52.828+00,2026-06-15 08:30:52.462243+00,2026-06-15 08:30:52.462243+00,,,,,
e296defc-d553-4592-954d-63bea64c800f,,,payment,Marketing,250.00 € · vyplatené,"{""action"": ""paid"", ""origin"": ""crm_app"", ""payment_status"": ""paid"", ""idempotency_key"": ""commissions:a70464ce-1d08-43aa-8337-302dcba84ca4:paid""}",commissions,a70464ce-1d08-43aa-8337-302dcba84ca4,2026-06-15 08:30:55.163+00,2026-06-15 08:30:54.789646+00,2026-06-15 08:30:54.789646+00,,,,,
43ef1c84-622e-47c1-828c-bd0a4b4cbb4b,,,hosting_event,Interlingua,Hostcreators,"{""action"": ""created"", ""origin"": ""crm_app"", ""idempotency_key"": ""hosting_records:ea940195-31a5-489b-a88d-d18254f8f399:created""}",hosting_records,ea940195-31a5-489b-a88d-d18254f8f399,2026-06-15 08:40:00.37+00,2026-06-15 08:40:00.093121+00,2026-06-15 08:40:00.093121+00,,,,,
30d7c234-28cb-4cbe-8c42-dc96a0e02aa1,,,hosting_event,Makesensespace.sk,Hostcreators,"{""action"": ""created"", ""origin"": ""crm_app"", ""idempotency_key"": ""hosting_records:c972c247-6d7d-483c-8a49-c2c8d3ab1f8f:created""}",hosting_records,c972c247-6d7d-483c-8a49-c2c8d3ab1f8f,2026-06-15 08:42:05.532+00,2026-06-15 08:42:05.214319+00,2026-06-15 08:42:05.214319+00,,,,,
f6c69767-334a-499a-a8bd-707e3c4bfc87,,,hosting_event,JankaTopanka,Hostcreators,"{""action"": ""created"", ""origin"": ""crm_app"", ""idempotency_key"": ""hosting_records:b12d0b44-e20a-4851-a182-018f5c152f98:created""}",hosting_records,b12d0b44-e20a-4851-a182-018f5c152f98,2026-06-15 08:44:32.172+00,2026-06-15 08:44:31.854245+00,2026-06-15 08:44:31.854245+00,,,,,
ee55b113-a7ad-482f-a18f-3fb61f7ecf3f,,,commission,Hosting — JankaTopanka,10.00 € · nezaplatené,"{""action"": ""created"", ""origin"": ""crm_app"", ""payment_status"": ""unpaid"", ""idempotency_key"": ""commissions:55a78c63-a7c9-48da-af44-acc80b374287:created""}",commissions,55a78c63-a7c9-48da-af44-acc80b374287,2026-06-15 11:03:16.126+00,2026-06-15 11:03:14.534123+00,2026-06-15 11:03:14.534123+00,,,,,
13d1fc2d-9173-42bf-911c-58182aa5b32f,,,commission,Hosting — JankaTopanka,10.00 € · vyplatené,"{""action"": ""created"", ""origin"": ""crm_app"", ""payment_status"": ""paid"", ""idempotency_key"": ""commissions:6f25cb39-0edf-454e-b207-11c31ae15d1e:created""}",commissions,6f25cb39-0edf-454e-b207-11c31ae15d1e,2026-06-15 11:03:33.893+00,2026-06-15 11:03:32.230815+00,2026-06-15 11:03:32.230815+00,,,,,
6531c6ef-d41f-47b3-a47e-b4dbc7adc8db,,,commission,Hosting — Makesensespace.sk,10.00 € · nezaplatené,"{""action"": ""created"", ""origin"": ""crm_app"", ""payment_status"": ""unpaid"", ""idempotency_key"": ""commissions:5a5a8670-5c87-4c9b-a329-f618fd7c0e50:created""}",commissions,5a5a8670-5c87-4c9b-a329-f618fd7c0e50,2026-06-15 19:28:43.146+00,2026-06-15 19:28:42.88202+00,2026-06-15 19:28:42.88202+00,,,,,
016492f0-b136-49c9-b04a-093582d64ccf,,,commission,Hosting — Interlingua,10.00 € · nezaplatené,"{""action"": ""created"", ""origin"": ""crm_app"", ""payment_status"": ""unpaid"", ""idempotency_key"": ""commissions:0ab92ada-5d46-4343-b89f-f14c28ee80de:created""}",commissions,0ab92ada-5d46-4343-b89f-f14c28ee80de,2026-06-15 19:29:09.712+00,2026-06-15 19:29:09.332312+00,2026-06-15 19:29:09.332312+00,,,,,
0ec2f221-61a0-413a-a8f6-37eb2bd48be9,d6755a37-7995-42d6-8645-bbaeb8342a4c,info@baterix.sk,commission,Hosting — Baterix,30.00 € · nezaplatené,"{""action"": ""created"", ""origin"": ""crm_app"", ""payment_status"": ""unpaid"", ""idempotency_key"": ""commissions:1a3cffac-771e-4c1b-839f-1e1841dd3750:created""}",commissions,1a3cffac-771e-4c1b-839f-1e1841dd3750,2026-06-15 19:29:26.733+00,2026-06-15 19:29:26.337538+00,2026-06-15 19:29:26.337538+00,,,,,
9f61a759-d616-4422-bc22-3580ca4a380d,b38d2327-11ec-46f6-a003-7854ba80c947,kamenictvidiamond@gmail.com,email_out,Omeškaná platba – stránka Kamenictvi-diamond je dočasne neaktívna,"Dobrý deň Kamenictvi Diamond, Vaša webová stránka Kamenictvi-diamond (https://kamenictvi-diamond.cz/) je momentálne NEAKTÍVNA z dôvodu omeškanej platby za obdobie máj 2026. Pre znovuaktiváciu stránky je potrebné uhradiť dlžnú sumu 35.00 €.…","{""origin"": ""edge_function"", ""subject"": ""Omeškaná platba – stránka Kamenictvi-diamond je dočasne neaktívna"", ""resend_id"": ""75fc9ac2-aab6-4699-8ee4-a99c112fff96"", ""edge_function"": ""send-overdue-email"", ""normalized_subject"": ""omeškaná platba – stránka kamenictvi-diamond je dočasne neaktívna"", ""outbound_thread_key"": ""resend:75fc9ac2-aab6-4699-8ee4-a99c112fff96""}",,,2026-06-15 20:34:02.029+00,2026-06-15 20:34:02.051106+00,2026-06-15 20:34:02.051106+00,,,resend:75fc9ac2-aab6-4699-8ee4-a99c112fff96,info@webnaprenajom.sk,kamenictvidiamond@gmail.com
f60cc684-ffdb-407c-a8e9-a48c9c6efe8a,,exitqo@gmail.com,rental_event,Test,test.sk,"{""action"": ""created"", ""origin"": ""crm_app"", ""idempotency_key"": ""rental_websites:6e2453b0-c4db-4b83-8b1f-26f4d578377d:created""}",rental_websites,6e2453b0-c4db-4b83-8b1f-26f4d578377d,2026-06-15 17:26:41.937+00,2026-06-15 17:26:41.690126+00,2026-06-15 21:24:10.871212+00,,,,,
