id,date,title,category,amount,payment_status,note,created_at,updated_at
159c0b54-642f-43c1-b33a-07350535058c,2026-05-14,AI kredity — Stop-zazekaniu.sk (2026),AI kredity,6,paid,rental_credits:ba8de981-2435-452f-abfb-c93737ed0e13:2026,2026-05-14 21:56:50.496245+00,2026-05-16 13:44:41.074043+00
b071b3af-ae69-4411-aa08-a6118367e3e0,2026-05-14,AI kredity — Sunland.tech (2026),AI kredity,12,paid,rental_credits:383c6b9e-4a57-4c9d-891d-3ac0cc863322:2026,2026-05-14 21:58:17.19408+00,2026-05-16 13:44:45.559094+00
3e4655e6-a112-4b30-bf94-84cac13d505e,2026-05-17,AI kredity — Fanklub Diamond (2026),AI kredity,6,paid,rental_credits:5e950efa-0b55-4b71-bc88-75d4029f726c:2026,2026-05-17 20:44:57.453426+00,2026-05-17 20:44:57.453426+00
80921883-8db5-4e1a-a923-59184a4d9454,2026-05-24,AI kredit - DC Akademy,Cloud,10,unpaid,,2026-05-24 19:13:00.765672+00,2026-05-24 19:13:00.765672+00
fcc710fb-a759-4d7f-84f5-ab14329e3098,2026-05-24,AI kredit,Lovable,15,unpaid,Dobitie 50 kreditov,2026-05-24 19:51:24.911599+00,2026-05-24 19:51:24.911599+00
40b2cc5d-9d93-44b4-b00f-928bf66d5ab7,2026-06-05,AI kredit,Lovable,25,unpaid,Mesačný paušál,2026-06-05 07:38:51.784694+00,2026-06-05 07:38:51.784694+00
adf0cfcf-0a02-41c8-ae26-bb6c78c1be06,2026-06-02,AI kredity — Expertinazlato.sk (2026),AI kredity,28.5,paid,rental_credits:9794d927-d1af-465b-b8ce-a868a7f45623:2026,2026-06-02 22:34:15.026181+00,2026-06-05 14:02:19.693539+00
7061c885-c129-4ef8-bc0d-f342735f6180,2026-05-14,AI kredity — Dcacademy.sk (2026),AI kredity,61.5,paid,rental_credits:6b79e6f1-6271-4433-80a1-abc036f5404a:2026,2026-05-14 18:58:56.7326+00,2026-06-11 09:01:41.770335+00
adc4366f-fa67-403e-a6a4-529c19db3c77,2026-05-07,Interlingua,Hosting,30,paid,,2026-05-07 20:21:50.767251+00,2026-06-15 08:46:02.014904+00
0a646eff-12f1-4f6d-92f0-83f02156804f,2026-05-07,Interlingua,Doména,13.53,paid,,2026-05-07 20:21:24.414266+00,2026-06-15 08:46:10.37107+00
ae465df5-5d7a-4acc-9879-d4b05bcea131,2026-05-14,AI kredity — Kamenictvi-diamond (2026),AI kredity,12,paid,rental_credits:570bec50-43a7-4656-bf51-076bf08365c7:2026,2026-05-14 21:58:52.68712+00,2026-06-15 20:33:44.353153+00
a79c887c-f588-465c-a869-9b4554208c80,2026-05-07,Dámskabielizen.sk,Doména,11.69,unpaid,,2026-05-07 20:18:50.191902+00,2026-05-07 20:18:50.191902+00
5ee6118f-2085-4517-b248-24a95d5c6014,2026-04-30,Databáza,Jaspravim,40,unpaid,,2026-04-30 00:29:14.623079+00,2026-05-07 20:23:10.894256+00
00b7fd67-0c76-4bf8-a2d5-aa7da4b57e9a,2026-03-05,Lavable,Marec,25,unpaid,,2026-04-30 00:26:42.631164+00,2026-05-07 20:23:18.514509+00
bd00607b-6e6b-4224-afaa-111423836b99,2026-05-06,Lavable,Máj,25,unpaid,,2026-05-06 22:20:15.070117+00,2026-05-07 20:23:22.054061+00
62769b44-c87f-41d5-9d57-f06e54557814,2026-04-05,Lavable,Apríl,25,unpaid,,2026-04-30 00:48:09.35114+00,2026-05-07 20:23:25.952936+00
945c00eb-83ca-408f-9ba7-027f03bdd027,2026-05-10,Lovable,Kredit,30,unpaid,Dcacdemy.sk,2026-05-10 11:15:25.882715+00,2026-05-11 20:13:43.376125+00
f4d13e81-6dc7-4fb1-8f87-4bdaecdca12f,2026-05-14,AI kredity — Bozz.sk (2026),AI kredity,3,paid,rental_credits:dc51f4e2-fd80-4d00-95cf-8a4130a4d722:2026,2026-05-14 21:55:48.535196+00,2026-05-16 13:43:02.09539+00
6698a82a-4d2d-4070-9e1b-2c6050e4c840,2026-05-14,AI kredity — Dedicske právo (2026),AI kredity,9,paid,rental_credits:1fe2031b-61e8-4a65-a3d0-a0bd550e5e02:2026,2026-05-14 21:57:39.733268+00,2026-05-16 13:43:26.216983+00
